#regression dataset three feature
# y = 2.2*x1 + 0.8*x2 -1.7*x3 + 3.2 + noise*0.01
x0,x1,x2,y
8.39,3.06,-0.54,25.02
3.97,-1.92,4.78,2.28
2.66,6.29,3.78,7.67
3.92,-2.88,2.75,4.85
0.36,2.5,1.74,3.04
2.55,2.25,4.36,3.2
0.7,2.76,0.17,6.66
3.01,3.74,-1.18,14.82
3.77,3.45,4.5,6.61
2.42,-2.22,5.24,-2.15
2.69,-2.28,1.97,3.95
0.38,1.62,-0.35,5.94
2.9,-5.08,0.3,5.01
0.22,5.91,-2.71,13.03
-1.33,1.15,2.78,-3.52
3.27,3.19,4.54,5.23
6.15,0.97,0.84,16.08
3.84,0.49,2.83,7.23
0.72,-1.26,3.44,-2.07
-1.16,3.98,3.17,-1.55
0.73,4.45,0.5,7.52
3.31,1.64,5.53,2.4
3.14,1.02,0.72,9.7
5.01,1.74,3.8,9.16
-0.62,4.57,1.34,3.22
3.15,1.88,-0.41,12.34
3.76,3.02,-3.39,19.65
2.47,1.56,2.92,4.92
4.17,4.46,6.88,4.25
2.43,-0.5,-0.71,9.36
1.23,3.02,0.59,7.32
0.34,0.37,5.72,-5.48
2.62,5.39,0.89,11.77
-1.77,2.27,0.84,-0.3
3.0,0.53,3.7,3.94
1.8,-0.33,-0.69,8.07
1.41,-0.7,2.56,1.39
0.43,1.08,-1.49,7.54
2.39,-1.29,-0.55,8.37
1.71,2.07,2.68,4.07
4.28,1.32,0.43,12.94
5.09,5.84,3.12,13.77
3.08,5.7,2.76,9.84
3.08,4.88,2.85,9.04
2.42,0.01,3.16,3.17
4.26,2.96,2.55,10.61
0.37,2.93,0.76,5.07
4.48,0.74,2.44,9.51
3.21,-3.73,5.9,-2.75
1.98,2.71,1.41,7.33
3.06,1.82,-3.63,17.57
4.9,2.76,2.04,12.73
-0.56,0.62,0.65,1.36
0.93,2.62,4.45,-0.22
-0.35,-2.75,2.4,-3.85
5.15,-1.56,3.12,7.98
-0.82,1.62,5.88,-7.3
4.61,1.07,2.26,10.36
2.04,-0.61,4.75,-0.87
1.85,2.89,5.45,0.32
1.24,1.53,1.8,4.1
-0.47,-0.91,3.66,-4.78
2.28,3.76,5.73,1.49
3.07,-1.34,-2.06,12.39
-1.45,-1.91,3.72,-7.83
4.66,3.0,0.48,15.04
4.39,1.62,1.4,11.77
1.96,1.25,1.47,6.01
1.41,5.6,1.2,8.75
-0.01,2.04,2.09,1.27
4.41,0.23,0.08,12.95
-0.53,-0.47,3.93,-5.02
1.7,-3.02,8.69,-10.25
1.9,2.61,0.56,8.52
0.24,0.62,1.52,1.64
2.42,-0.11,4.39,0.98
1.45,0.53,3.93,0.14
2.1,-2.3,1.31,3.76
-1.78,3.53,-2.44,6.26
0.13,1.79,1.84,1.8
2.32,0.87,-0.18,9.32
3.54,0.85,4.89,3.36
1.53,-0.61,1.99,2.7
1.49,-1.05,1.96,2.31
1.45,7.88,7.04,0.73
2.03,-2.04,1.37,3.71
1.44,0.96,2.04,3.67
5.69,6.75,1.0,19.43
-1.41,3.86,0.9,1.66
2.32,1.86,5.04,1.23
3.32,4.1,1.23,11.7
2.8,3.48,2.79,7.41
3.47,0.21,0.88,9.51
2.66,0.01,-1.43,11.5
0.75,-1.84,-1.0,5.08
-1.16,0.67,2.73,-3.45
-1.08,3.34,-3.96,10.23
1.48,0.59,-2.05,10.42
4.38,3.19,-0.73,16.64
3.26,2.5,-0.34,12.96
1.82,2.03,-0.88,10.33
-0.17,3.14,3.23,-0.15
3.75,-0.87,1.16,8.78
6.29,-1.53,0.84,14.39
-2.38,1.33,-1.48,1.55
3.09,2.61,4.97,3.64
2.53,2.41,6.16,0.23
1.65,0.57,6.11,-3.1
4.06,0.91,-1.24,14.97
1.34,-0.08,-1.37,8.42
-1.62,-0.67,-1.32,1.34
3.94,5.95,1.45,14.17
2.35,2.09,0.86,8.59
2.18,3.1,4.37,3.05
3.63,-2.93,-1.49,11.38
3.48,1.3,-0.03,11.95
-0.41,2.78,-1.88,7.72
2.87,2.27,6.22,0.77
-0.22,0.74,1.97,-0.04
3.96,2.21,5.15,4.93
-0.19,-1.01,3.57,-4.09
2.61,3.14,1.86,8.29
2.82,4.12,-1.92,15.97
2.84,2.26,0.25,10.84
-2.67,-1.51,1.77,-6.88
2.49,4.66,3.53,6.41
3.89,1.44,4.7,4.93
1.05,-0.53,2.43,0.96
1.16,-5.04,-0.22,2.1
1.66,-0.55,0.39,5.76
2.18,3.81,4.67,3.11
2.07,3.83,-1.44,13.27
0.21,1.81,5.37,-4.01
-2.95,1.66,-1.72,0.97
2.3,3.62,6.95,-0.66
4.15,1.31,-3.07,18.6
-0.04,5.85,2.84,2.97
3.93,2.79,10.51,-3.79
4.8,1.57,-5.02,23.56
1.61,0.85,2.44,3.28
-2.08,6.03,0.61,2.42
2.41,1.23,6.32,-1.25
4.02,1.68,-1.85,16.54
2.51,-1.78,1.7,4.42
0.95,0.1,-0.6,6.39
4.79,0.08,1.72,10.88
0.28,4.34,-1.27,9.46
4.57,1.47,6.58,3.25
0.96,0.92,4.08,-0.88
4.27,1.86,3.31,8.46
0.74,-1.58,-1.35,5.86
1.56,1.08,-1.38,9.84
1.22,2.81,5.11,-0.55
1.41,2.51,-1.37,10.64
2.43,-1.55,0.49,6.48
4.33,4.19,1.33,13.82
1.55,0.98,-1.1,9.27
1.17,0.49,4.63,-1.7
1.19,3.44,4.67,0.64
3.1,0.44,6.36,-0.44
2.44,5.88,5.7,3.59
1.71,4.94,1.94,7.62
3.01,-1.44,-4.24,15.88
1.13,-2.02,0.98,2.41
2.92,2.28,5.02,2.92
3.82,2.53,-3.68,19.89
3.69,-0.27,1.68,8.25
0.7,6.5,2.79,5.2
3.72,-1.18,0.41,9.75
3.3,2.33,2.25,8.51
2.78,-3.62,-1.54,9.05
0.74,-1.51,-4.45,11.19
2.27,2.53,0.11,10.04
1.23,3.5,5.0,0.21
-0.03,3.84,-0.45,6.98
4.39,3.48,3.49,9.71
3.45,0.23,-4.01,17.79
3.49,2.72,1.35,10.76
1.08,0.43,0.34,5.35
4.38,3.13,7.98,1.78
